DrugGEN_MOL_ID,DOCKING_SCORE
MOL_01_030622,-8.554
MOL_02_032925,-8.545
MOL_01_030301,-8.544
MOL_02_031415,-8.541
MOL_02_000412,-8.541
MOL_02_009158,-8.54
MOL_02_003406,-8.539
MOL_02_008648,-8.535
MOL_02_010029,-8.534
MOL_02_009431,-8.534
MOL_02_028077,-8.533
MOL_02_012318,-8.532
MOL_01_030585,-8.531
MOL_02_031950,-8.531
MOL_02_026248,-8.53
MOL_01_028336,-8.529
MOL_01_031345,-8.528
MOL_02_008091,-8.528
MOL_02_012801,-8.526
MOL_02_025965,-8.522
MOL_01_029720,-8.52
MOL_02_036246,-8.519
MOL_02_009714,-8.518
MOL_01_029688,-8.515
MOL_02_009211,-8.515
MOL_02_009138,-8.513
MOL_02_004298,-8.513
MOL_02_026087,-8.511
MOL_02_019558,-8.511
MOL_02_009972,-8.509
MOL_02_009932,-8.508
MOL_02_035404,-8.507
MOL_02_000173,-8.507
MOL_02_031139,-8.506
MOL_01_026903,-8.506
MOL_01_025638,-8.502
MOL_01_027767,-8.5
MOL_02_031871,-8.496
MOL_01_028441,-8.494
MOL_02_009712,-8.494
MOL_02_022534,-8.492
MOL_02_016016,-8.491
MOL_02_012792,-8.49
MOL_02_036865,-8.486
MOL_01_030689,-8.483
MOL_02_031746,-8.482
MOL_02_009090,-8.482
MOL_02_001281,-8.481
MOL_02_029376,-8.48
MOL_02_008417,-8.478
MOL_02_001027,-8.477
MOL_02_024931,-8.473
MOL_02_019088,-8.469
MOL_02_009323,-8.465
MOL_02_037993,-8.463
MOL_01_025668,-8.462
MOL_02_000089,-8.46
MOL_01_032846,-8.457
MOL_01_029048,-8.456
MOL_02_009668,-8.454
MOL_01_031054,-8.454
MOL_02_009716,-8.453
MOL_01_031147,-8.449
MOL_02_009966,-8.448
MOL_02_030865,-8.445
MOL_01_032184,-8.444
MOL_02_012503,-8.444
MOL_02_017716,-8.443
MOL_02_029936,-8.442
MOL_02_008474,-8.442
MOL_02_034627,-8.442
MOL_02_012376,-8.441
MOL_02_015853,-8.441
MOL_02_009034,-8.44
MOL_02_000435,-8.439
MOL_02_026041,-8.438
MOL_01_029560,-8.437
MOL_02_033192,-8.436
MOL_01_030653,-8.435
MOL_02_012739,-8.435
MOL_02_005809,-8.434
MOL_02_030773,-8.433
MOL_02_016394,-8.433
MOL_02_030749,-8.427
MOL_01_027983,-8.423
MOL_02_007294,-8.423
MOL_02_014901,-8.422
MOL_02_020022,-8.418
MOL_02_011584,-8.416
MOL_02_030775,-8.416
MOL_02_019919,-8.416
MOL_02_009274,-8.416
MOL_02_007251,-8.415
MOL_02_034424,-8.411
MOL_02_017849,-8.41
MOL_02_008746,-8.41
MOL_02_001389,-8.409
MOL_01_031137,-8.409
MOL_02_034194,-8.408
MOL_02_000741,-8.407
MOL_01_030537,-8.407
MOL_02_007571,-8.407
MOL_01_032652,-8.405
MOL_02_029762,-8.404
MOL_02_033066,-8.404
MOL_02_004869,-8.403
MOL_02_018957,-8.403
MOL_01_024829,-8.401
MOL_02_008696,-8.401
MOL_01_011591,-8.401
MOL_02_025276,-8.4
MOL_02_024341,-8.399
MOL_02_016953,-8.399
MOL_02_000429,-8.398
MOL_02_009554,-8.397
MOL_02_009506,-8.396
MOL_01_030438,-8.396
MOL_01_029831,-8.395
MOL_02_011260,-8.394
MOL_02_033338,-8.393
MOL_02_035482,-8.393
MOL_02_030846,-8.39
MOL_02_009337,-8.39
MOL_02_035590,-8.389
MOL_01_031302,-8.388
MOL_01_028827,-8.388
MOL_01_027052,-8.388
MOL_02_026757,-8.386
MOL_01_032789,-8.386
MOL_01_026783,-8.386
MOL_02_015657,-8.386
MOL_01_030938,-8.385
MOL_02_032259,-8.385
MOL_02_035410,-8.384
MOL_02_019778,-8.384
MOL_02_019750,-8.384
MOL_02_009102,-8.382
MOL_02_006887,-8.382
MOL_02_031468,-8.379
MOL_02_013816,-8.379
MOL_01_031843,-8.379
MOL_02_009022,-8.379
MOL_01_028689,-8.379
