CHEMBL_MOL_ID,DOCKING_SCORE
CHEMBL2325982,-9.682
CHEMBL2177378,-9.682
CHEMBL2177390,-9.681
CHEMBL2021603,-9.68
CHEMBL512858,-9.674
CHEMBL4217723,-9.671
CHEMBL1173350,-9.654
CHEMBL4212000,-9.624
CHEMBL2177369,-9.605
CHEMBL1258553,-9.595
CHEMBL3113150,-9.585
CHEMBL3909655,-9.575
CHEMBL258837,-9.572
CHEMBL1632378,-9.564
CHEMBL2325740,-9.561
CHEMBL2177375,-9.556
CHEMBL1170446,-9.544
CHEMBL2177373,-9.541
CHEMBL259163,-9.534
CHEMBL259265,-9.524
CHEMBL2325741,-9.517
CHEMBL3963052,-9.509
CHEMBL2177374,-9.504
CHEMBL407718,-9.497
CHEMBL2177368,-9.451
CHEMBL1257166,-9.448
CHEMBL3894849,-9.448
CHEMBL1257283,-9.445
CHEMBL3913177,-9.431
CHEMBL411515,-9.43
CHEMBL2177366,-9.424
CHEMBL471034,-9.424
CHEMBL1258216,-9.421
CHEMBL449964,-9.418
CHEMBL469590,-9.417
CHEMBL470597,-9.417
CHEMBL1173272,-9.416
CHEMBL1173349,-9.414
CHEMBL1632383,-9.409
CHEMBL512135,-9.409
CHEMBL2325986,-9.409
CHEMBL3900331,-9.404
CHEMBL1258662,-9.395
CHEMBL496690,-9.392
CHEMBL1257165,-9.377
CHEMBL3986416,-9.365
CHEMBL2325738,-9.355
CHEMBL2325984,-9.35
CHEMBL3969016,-9.337
CHEMBL3899490,-9.334
CHEMBL1171485,-9.329
CHEMBL4284420,-9.325
CHEMBL1257403,-9.323
CHEMBL1170448,-9.316
CHEMBL469781,-9.289
CHEMBL4540052,-9.283
CHEMBL4282775,-9.266
CHEMBL2325728,-9.256
CHEMBL1171672,-9.243
CHEMBL4216977,-9.214
CHEMBL3977344,-9.212
CHEMBL1632390,-9.208
CHEMBL2177380,-9.204
CHEMBL1173273,-9.193
CHEMBL1258664,-9.191
CHEMBL205994,-9.181
CHEMBL2177365,-9.167
CHEMBL2177364,-9.166
CHEMBL1632386,-9.166
CHEMBL1170445,-9.164
CHEMBL3890076,-9.156
CHEMBL3942663,-9.14
CHEMBL3973987,-9.126
CHEMBL3967166,-9.119
CHEMBL3977710,-9.115
CHEMBL2177379,-9.109
CHEMBL3968744,-9.107
CHEMBL2177363,-9.099
CHEMBL3943038,-9.048
CHEMBL1087281,-9.045
CHEMBL3113142,-9.043
CHEMBL1076553,-9.04
CHEMBL1080893,-9.038
CHEMBL1171299,-9.037
CHEMBL3964344,-9.035
CHEMBL3916864,-9.033
CHEMBL3911401,-9.031
CHEMBL482537,-9.022
CHEMBL3985709,-9.021
CHEMBL1258331,-9.009
CHEMBL3900512,-9.004
CHEMBL2177370,-9.003
CHEMBL4109551,-8.999
CHEMBL2325985,-8.997
CHEMBL1760771,-8.99
CHEMBL3897233,-8.99
CHEMBL4529738,-8.988
CHEMBL3954717,-8.964
CHEMBL4450141,-8.954
CHEMBL3896892,-8.94
CHEMBL2177382,-8.94
CHEMBL576372,-8.931
CHEMBL4284849,-8.925
CHEMBL1076581,-8.921
CHEMBL4217489,-8.918
CHEMBL1258329,-8.918
CHEMBL2016887,-8.917
CHEMBL3932866,-8.901
CHEMBL210740,-8.895
CHEMBL1632387,-8.891
CHEMBL520788,-8.887
CHEMBL1080912,-8.874
CHEMBL2177376,-8.873
CHEMBL3937511,-8.865
CHEMBL4202879,-8.839
CHEMBL3906804,-8.838
CHEMBL2177381,-8.838
CHEMBL1080913,-8.831
CHEMBL1632376,-8.83
CHEMBL3113130,-8.818
CHEMBL1081439,-8.814
CHEMBL3955767,-8.805
CHEMBL3895298,-8.804
CHEMBL3913464,-8.798
CHEMBL4213657,-8.793
CHEMBL4212569,-8.788
CHEMBL3113140,-8.782
CHEMBL3962465,-8.775
CHEMBL4207231,-8.771
CHEMBL3932421,-8.766
CHEMBL1823654,-8.765
CHEMBL3931848,-8.751
CHEMBL3904322,-8.748
CHEMBL4285143,-8.747
CHEMBL4214539,-8.746
CHEMBL2177389,-8.745
CHEMBL3981085,-8.74
CHEMBL4545734,-8.732
CHEMBL1173304,-8.729
CHEMBL3910187,-8.722
CHEMBL2016893,-8.711
CHEMBL1080892,-8.704
CHEMBL1632374,-8.7
CHEMBL3805292,-8.688
CHEMBL3975126,-8.685
CHEMBL3913969,-8.679
CHEMBL3949232,-8.668
CHEMBL3917944,-8.663
CHEMBL3971598,-8.659
CHEMBL3894577,-8.655
CHEMBL2177388,-8.653
CHEMBL3912123,-8.645
CHEMBL4204854,-8.645
CHEMBL470410,-8.642
CHEMBL3699785,-8.637
CHEMBL4207643,-8.631
CHEMBL4211584,-8.628
CHEMBL4442226,-8.626
CHEMBL1258778,-8.615
CHEMBL3896518,-8.61
CHEMBL3948454,-8.603
CHEMBL213618,-8.603
CHEMBL4522820,-8.587
CHEMBL3889930,-8.586
CHEMBL3982706,-8.581
CHEMBL470596,-8.579
CHEMBL3137336,-8.569
CHEMBL3806229,-8.566
CHEMBL3806131,-8.559
CHEMBL378759,-8.556
CHEMBL3936879,-8.555
CHEMBL3805232,-8.55
CHEMBL1632391,-8.55
CHEMBL3961056,-8.55
CHEMBL4451854,-8.549
CHEMBL2177385,-8.546
CHEMBL4526242,-8.544
CHEMBL226798,-8.521
CHEMBL2177387,-8.516
CHEMBL3113145,-8.501
CHEMBL1080891,-8.5
CHEMBL1632380,-8.484
CHEMBL1632384,-8.484
CHEMBL3976391,-8.481
CHEMBL1632377,-8.481
CHEMBL3805163,-8.48
CHEMBL4467970,-8.478
CHEMBL472291,-8.474
CHEMBL4435124,-8.472
CHEMBL1258550,-8.465
CHEMBL1257752,-8.463
CHEMBL4577134,-8.455
CHEMBL3972741,-8.448
CHEMBL3939097,-8.44
CHEMBL470409,-8.438
CHEMBL4292059,-8.437
CHEMBL4451405,-8.432
CHEMBL1823661,-8.431
CHEMBL3969229,-8.429
CHEMBL3696286,-8.424
CHEMBL2016890,-8.409
CHEMBL3926249,-8.404
CHEMBL512148,-8.401
CHEMBL3909262,-8.401
CHEMBL14249,-8.397
CHEMBL4579551,-8.388
CHEMBL3113149,-8.387
CHEMBL3696313,-8.387
CHEMBL3964789,-8.385
CHEMBL3894252,-8.385
CHEMBL3968052,-8.382
CHEMBL208199,-8.382
CHEMBL3945304,-8.374
CHEMBL3928074,-8.362
CHEMBL3954781,-8.361
CHEMBL3901242,-8.358
CHEMBL3970397,-8.355
CHEMBL4578995,-8.349
CHEMBL1760761,-8.349
CHEMBL513728,-8.337
CHEMBL3699809,-8.331
CHEMBL3912088,-8.331
CHEMBL1632388,-8.328
CHEMBL376569,-8.325
CHEMBL1088613,-8.322
CHEMBL2016888,-8.314
CHEMBL4544411,-8.308
CHEMBL226627,-8.3
CHEMBL3908831,-8.297
CHEMBL1257280,-8.289
CHEMBL259833,-8.282
CHEMBL3927188,-8.281
CHEMBL3900809,-8.279
CHEMBL4576518,-8.278
CHEMBL3894291,-8.275
CHEMBL3925183,-8.275
CHEMBL3896152,-8.273
CHEMBL1632381,-8.273
CHEMBL4554198,-8.273
CHEMBL1257629,-8.269
CHEMBL2219422,-8.267
CHEMBL4457188,-8.259
CHEMBL4444441,-8.258
CHEMBL3113141,-8.255
CHEMBL3924538,-8.254
CHEMBL1258898,-8.253
CHEMBL2012702,-8.244
CHEMBL3127378,-8.232
CHEMBL4453662,-8.232
CHEMBL3696247,-8.226
CHEMBL3699810,-8.223
CHEMBL2177367,-8.216
CHEMBL4281435,-8.209
CHEMBL3127380,-8.208
CHEMBL2177372,-8.208
CHEMBL3953878,-8.205
CHEMBL4530506,-8.201
CHEMBL210349,-8.198
CHEMBL3696285,-8.194
CHEMBL3917106,-8.19
CHEMBL572670,-8.189
CHEMBL229855,-8.186
CHEMBL3967750,-8.185
CHEMBL3960833,-8.182
CHEMBL1632369,-8.177
CHEMBL3895450,-8.175
CHEMBL3112595,-8.172
CHEMBL1257751,-8.166
CHEMBL3940462,-8.166
CHEMBL3696314,-8.16
CHEMBL379218,-8.154
CHEMBL388729,-8.151
CHEMBL3932445,-8.145
CHEMBL3127379,-8.143
CHEMBL3904852,-8.14
CHEMBL229918,-8.137
CHEMBL1632389,-8.135
CHEMBL482536,-8.114
CHEMBL4445702,-8.11
CHEMBL3959379,-8.109
CHEMBL3972216,-8.108
CHEMBL3908333,-8.104
CHEMBL3966620,-8.103
CHEMBL581848,-8.099
CHEMBL390371,-8.096
CHEMBL3916957,-8.095
CHEMBL3961562,-8.09
CHEMBL3941307,-8.09
CHEMBL1760772,-8.089
CHEMBL3980219,-8.083
CHEMBL3696304,-8.082
CHEMBL227368,-8.081
CHEMBL1760759,-8.075
CHEMBL438483,-8.073
CHEMBL3922457,-8.073
CHEMBL3218297,-8.073
CHEMBL3979190,-8.07
CHEMBL3897494,-8.07
CHEMBL1171501,-8.066
CHEMBL4570911,-8.065
CHEMBL378963,-8.064
CHEMBL1257873,-8.063
CHEMBL1258551,-8.063
CHEMBL574979,-8.056
CHEMBL226626,-8.055
CHEMBL1632371,-8.05
CHEMBL1632373,-8.05
CHEMBL3906193,-8.042
CHEMBL3969159,-8.039
CHEMBL2016771,-8.033
CHEMBL3987000,-8.032
CHEMBL3966878,-8.029
CHEMBL4438248,-8.021
CHEMBL3891820,-8.015
CHEMBL380196,-8.013
CHEMBL229315,-8.006
CHEMBL3948379,-8.006
CHEMBL3957354,-8.004
CHEMBL2016886,-8.004
CHEMBL4460525,-8.004
CHEMBL3923440,-8.003
CHEMBL3985540,-8.001
CHEMBL3936329,-8.001
CHEMBL3904876,-7.995
CHEMBL3891300,-7.993
CHEMBL572905,-7.993
CHEMBL3889695,-7.987
CHEMBL4593086,-7.984
CHEMBL3113143,-7.984
CHEMBL3951221,-7.981
CHEMBL471059,-7.978
CHEMBL3975681,-7.972
CHEMBL1081451,-7.967
CHEMBL226332,-7.967
CHEMBL3932198,-7.966
CHEMBL4445690,-7.963
CHEMBL3947929,-7.955
CHEMBL3901741,-7.954
CHEMBL3919834,-7.947
CHEMBL3904383,-7.946
CHEMBL3975180,-7.946
CHEMBL4446375,-7.94
CHEMBL4454791,-7.934
CHEMBL3973744,-7.931
CHEMBL3987123,-7.927
CHEMBL3950201,-7.926
CHEMBL3980207,-7.925
CHEMBL375716,-7.922
CHEMBL4587088,-7.918
CHEMBL1632392,-7.915
CHEMBL3907940,-7.914
CHEMBL229854,-7.911
CHEMBL3952282,-7.911
CHEMBL3905865,-7.91
CHEMBL3973946,-7.91
CHEMBL1258442,-7.908
CHEMBL469591,-7.908
CHEMBL4518386,-7.906
CHEMBL3952076,-7.904
CHEMBL383254,-7.902
CHEMBL576348,-7.899
CHEMBL3965271,-7.898
CHEMBL2016891,-7.898
CHEMBL577795,-7.897
CHEMBL3960331,-7.896
CHEMBL4528834,-7.89
CHEMBL1257511,-7.89
CHEMBL1081295,-7.887
CHEMBL388312,-7.884
CHEMBL1257510,-7.883
CHEMBL3957688,-7.883
CHEMBL3699808,-7.878
CHEMBL3919344,-7.878
CHEMBL605528,-7.877
CHEMBL4522719,-7.874
CHEMBL379868,-7.872
CHEMBL3684441,-7.871
CHEMBL576135,-7.868
CHEMBL2016885,-7.865
CHEMBL4438877,-7.863
CHEMBL3901251,-7.861
CHEMBL3696253,-7.858
CHEMBL1257163,-7.853
CHEMBL3910755,-7.853
CHEMBL596583,-7.85
CHEMBL3927542,-7.849
CHEMBL3907965,-7.846
CHEMBL3696273,-7.842
CHEMBL4217841,-7.841
CHEMBL3908032,-7.837
CHEMBL1076565,-7.831
CHEMBL211932,-7.829
CHEMBL388809,-7.82
CHEMBL4451765,-7.82
CHEMBL574986,-7.819
CHEMBL3968856,-7.817
CHEMBL596072,-7.816
CHEMBL1079625,-7.811
CHEMBL1081426,-7.803
CHEMBL1080740,-7.8
CHEMBL3905187,-7.797
CHEMBL3944209,-7.794
CHEMBL3900963,-7.794
CHEMBL3970947,-7.793
CHEMBL390372,-7.784
CHEMBL3903066,-7.765
CHEMBL3112864,-7.762
CHEMBL3699788,-7.762
CHEMBL1632385,-7.759
CHEMBL227326,-7.756
CHEMBL3929885,-7.754
CHEMBL3906130,-7.753
CHEMBL3699791,-7.753
CHEMBL575428,-7.751
CHEMBL605410,-7.743
CHEMBL3947247,-7.741
CHEMBL2012701,-7.74
CHEMBL3922652,-7.739
CHEMBL3113134,-7.737
CHEMBL3954073,-7.735
CHEMBL2016892,-7.734
CHEMBL379300,-7.733
CHEMBL3972161,-7.73
CHEMBL524998,-7.73
CHEMBL374805,-7.72
CHEMBL3940823,-7.716
CHEMBL4574492,-7.716
CHEMBL3900660,-7.712
CHEMBL1760763,-7.702
CHEMBL226330,-7.685
CHEMBL3903522,-7.682
CHEMBL260990,-7.679
CHEMBL381075,-7.679
CHEMBL212067,-7.677
CHEMBL226898,-7.675
CHEMBL3893813,-7.673
CHEMBL3113129,-7.669
CHEMBL3112858,-7.665
CHEMBL1760766,-7.665
CHEMBL3974022,-7.664
CHEMBL3696300,-7.661
CHEMBL3916178,-7.657
CHEMBL1823656,-7.657
CHEMBL229320,-7.652
CHEMBL3672092,-7.649
CHEMBL3965033,-7.647
CHEMBL3964685,-7.645
CHEMBL3911266,-7.645
CHEMBL389468,-7.644
CHEMBL3950042,-7.637
CHEMBL226148,-7.633
CHEMBL3977191,-7.627
CHEMBL3944868,-7.627
CHEMBL270157,-7.626
CHEMBL3696290,-7.623
CHEMBL3696297,-7.622
CHEMBL1081104,-7.62
CHEMBL3639986,-7.615
CHEMBL1258899,-7.613
CHEMBL3112853,-7.61
CHEMBL3951639,-7.607
CHEMBL3949501,-7.605
CHEMBL3940961,-7.603
CHEMBL1081029,-7.599
CHEMBL3918965,-7.598
CHEMBL4518523,-7.59
CHEMBL1258779,-7.588
CHEMBL3913067,-7.587
CHEMBL3942949,-7.584
CHEMBL1823637,-7.581
CHEMBL211865,-7.581
CHEMBL3925234,-7.58
CHEMBL3910789,-7.578
CHEMBL3978959,-7.578
CHEMBL3908761,-7.576
CHEMBL594072,-7.575
CHEMBL3696260,-7.57
CHEMBL3956421,-7.568
CHEMBL1080561,-7.566
CHEMBL3897534,-7.558
CHEMBL1081974,-7.555
CHEMBL1760758,-7.552
CHEMBL3930708,-7.551
CHEMBL3910716,-7.549
CHEMBL1202525,-7.548
CHEMBL3904288,-7.536
CHEMBL3933597,-7.531
CHEMBL227322,-7.53
CHEMBL255360,-7.527
CHEMBL3922798,-7.526
CHEMBL3949201,-7.525
CHEMBL3926535,-7.524
CHEMBL3957053,-7.519
CHEMBL3927590,-7.516
CHEMBL379576,-7.513
CHEMBL229800,-7.511
CHEMBL3895898,-7.507
CHEMBL4582476,-7.504
CHEMBL3679629,-7.504
CHEMBL3974261,-7.496
CHEMBL3906695,-7.495
CHEMBL3974777,-7.494
CHEMBL3672022,-7.493
CHEMBL1258330,-7.491
CHEMBL3922949,-7.491
CHEMBL3913301,-7.49
CHEMBL210403,-7.489
CHEMBL3890270,-7.485
CHEMBL210209,-7.479
CHEMBL3892286,-7.472
CHEMBL3968336,-7.472
CHEMBL208962,-7.471
CHEMBL3966806,-7.471
CHEMBL212566,-7.47
CHEMBL3688935,-7.466
CHEMBL3696277,-7.466
CHEMBL469802,-7.464
CHEMBL206198,-7.461
CHEMBL1170238,-7.452
CHEMBL4460756,-7.451
CHEMBL3937375,-7.443
CHEMBL576733,-7.439
CHEMBL3950203,-7.438
CHEMBL577567,-7.421
CHEMBL3970508,-7.421
CHEMBL3950150,-7.418
CHEMBL3983708,-7.418
CHEMBL227366,-7.417
CHEMBL210246,-7.416
CHEMBL1760770,-7.415
CHEMBL3912087,-7.407
CHEMBL3913659,-7.404
CHEMBL383264,-7.403
CHEMBL3891980,-7.399
CHEMBL210089,-7.398
CHEMBL3900157,-7.397
CHEMBL208961,-7.397
CHEMBL3909180,-7.395
CHEMBL1258441,-7.389
CHEMBL207496,-7.381
CHEMBL3961268,-7.377
CHEMBL4515689,-7.368
CHEMBL1760776,-7.366
CHEMBL3922497,-7.358
CHEMBL2375959,-7.357
CHEMBL3931709,-7.354
CHEMBL207139,-7.353
CHEMBL3933645,-7.352
CHEMBL3957616,-7.35
CHEMBL3971261,-7.347
CHEMBL3955055,-7.346
CHEMBL3983786,-7.345
CHEMBL1081629,-7.344
CHEMBL1257401,-7.338
CHEMBL375919,-7.337
CHEMBL3908552,-7.336
CHEMBL3981168,-7.335
CHEMBL227050,-7.329
CHEMBL470620,-7.329
CHEMBL3917257,-7.328
CHEMBL579053,-7.328
CHEMBL210628,-7.325
CHEMBL255559,-7.315
CHEMBL3959404,-7.315
CHEMBL3701772,-7.314
CHEMBL574764,-7.313
CHEMBL3984164,-7.312
CHEMBL3897066,-7.311
CHEMBL226996,-7.311
CHEMBL3649679,-7.309
CHEMBL227323,-7.308
CHEMBL3954017,-7.307
CHEMBL1081438,-7.307
CHEMBL3945651,-7.302
CHEMBL1632382,-7.301
CHEMBL3890965,-7.297
CHEMBL470202,-7.293
CHEMBL206819,-7.292
CHEMBL3897576,-7.29
CHEMBL3963881,-7.289
CHEMBL3935986,-7.288
CHEMBL575631,-7.288
CHEMBL4460688,-7.283
CHEMBL1081660,-7.28
CHEMBL379209,-7.28
CHEMBL594933,-7.278
CHEMBL1173697,-7.275
CHEMBL3672522,-7.272
CHEMBL3960355,-7.271
CHEMBL1632368,-7.27
CHEMBL3964324,-7.269
CHEMBL389438,-7.264
CHEMBL3976678,-7.264
CHEMBL210940,-7.258
CHEMBL3953697,-7.258
CHEMBL1081425,-7.256
CHEMBL3941451,-7.249
CHEMBL211281,-7.247
CHEMBL3961556,-7.247
CHEMBL575385,-7.246
CHEMBL208761,-7.245
CHEMBL401999,-7.241
CHEMBL575384,-7.238
CHEMBL1823655,-7.238
CHEMBL3947888,-7.236
CHEMBL450772,-7.231
CHEMBL226625,-7.227
CHEMBL3640740,-7.225
CHEMBL1760773,-7.225
CHEMBL3957657,-7.221
CHEMBL225789,-7.219
CHEMBL378870,-7.218
CHEMBL3933596,-7.217
CHEMBL3910203,-7.217
CHEMBL229798,-7.216
CHEMBL3927440,-7.214
CHEMBL210093,-7.212
CHEMBL3982415,-7.212
CHEMBL469357,-7.206
CHEMBL3903026,-7.203
CHEMBL1823649,-7.203
CHEMBL3915684,-7.199
CHEMBL3891763,-7.198
CHEMBL3924599,-7.193
CHEMBL572907,-7.187
CHEMBL4585120,-7.185
CHEMBL3980521,-7.184
CHEMBL208790,-7.184
CHEMBL3939144,-7.181
CHEMBL3980922,-7.179
CHEMBL226849,-7.178
CHEMBL3973734,-7.177
CHEMBL3981254,-7.176
CHEMBL3639985,-7.173
CHEMBL3985874,-7.167
CHEMBL3955405,-7.165
CHEMBL3892575,-7.164
CHEMBL3805228,-7.161
CHEMBL573359,-7.16
CHEMBL211186,-7.16
CHEMBL3920410,-7.158
CHEMBL3899565,-7.158
CHEMBL3906488,-7.153
CHEMBL4445510,-7.151
CHEMBL180058,-7.148
CHEMBL3976254,-7.141
CHEMBL573096,-7.139
CHEMBL3894578,-7.138
CHEMBL3699700,-7.138
CHEMBL4519793,-7.134
CHEMBL3699784,-7.132
CHEMBL3113136,-7.13
CHEMBL516429,-7.129
CHEMBL3943041,-7.127
CHEMBL209638,-7.125
CHEMBL1254114,-7.123
CHEMBL2012699,-7.121
CHEMBL594523,-7.12
CHEMBL4446884,-7.114
CHEMBL3976090,-7.112
CHEMBL3917410,-7.111
CHEMBL375717,-7.11
CHEMBL3946371,-7.107
CHEMBL578418,-7.106
CHEMBL207373,-7.099
CHEMBL3904712,-7.097
CHEMBL3929830,-7.095
CHEMBL3699801,-7.093
CHEMBL3941283,-7.093
CHEMBL3948085,-7.092
CHEMBL3890873,-7.086
CHEMBL3696245,-7.085
CHEMBL3699803,-7.074
CHEMBL4546392,-7.073
CHEMBL3918796,-7.072
CHEMBL3897830,-7.071
CHEMBL208014,-7.069
CHEMBL3918242,-7.064
CHEMBL211018,-7.061
CHEMBL3965063,-7.058
CHEMBL3968352,-7.055
CHEMBL388310,-7.054
CHEMBL3696251,-7.051
CHEMBL1823663,-7.048
CHEMBL212259,-7.046
CHEMBL577134,-7.046
CHEMBL4593509,-7.042
CHEMBL203685,-7.042
CHEMBL3978595,-7.04
CHEMBL3696269,-7.04
CHEMBL1684800,-7.037
CHEMBL3972543,-7.036
CHEMBL207338,-7.032
CHEMBL3672019,-7.031
CHEMBL427426,-7.03
CHEMBL1080911,-7.029
CHEMBL572418,-7.027
CHEMBL4560290,-7.027
CHEMBL3919089,-7.026
CHEMBL3890310,-7.025
CHEMBL225788,-7.017
CHEMBL3684368,-7.015
CHEMBL3968002,-7.01
CHEMBL470598,-7.007
CHEMBL3922417,-7.006
CHEMBL3216643,-7.004
CHEMBL229917,-7.004
CHEMBL575427,-7.002
CHEMBL229799,-7.001
CHEMBL3985943,-7.001
CHEMBL1081263,-7
CHEMBL4568343,-6.998
CHEMBL590109,-6.997
CHEMBL1760769,-6.996
CHEMBL4455194,-6.996
CHEMBL3912769,-6.996
CHEMBL206732,-6.993
CHEMBL1081119,-6.992
CHEMBL3976022,-6.991
CHEMBL3950595,-6.989
CHEMBL3986793,-6.984
CHEMBL3699795,-6.983
CHEMBL374808,-6.98
CHEMBL210020,-6.975
CHEMBL596379,-6.974
CHEMBL227367,-6.972
CHEMBL381187,-6.97
CHEMBL3950222,-6.97
CHEMBL1257281,-6.969
CHEMBL3931731,-6.968
CHEMBL209503,-6.966
CHEMBL253458,-6.962
CHEMBL381328,-6.957
CHEMBL3938237,-6.956
CHEMBL3894443,-6.954
CHEMBL3919026,-6.949
CHEMBL3927446,-6.949
CHEMBL205871,-6.946
CHEMBL3931262,-6.945
CHEMBL3901997,-6.941
CHEMBL3983282,-6.937
CHEMBL259834,-6.935
CHEMBL4465905,-6.934
CHEMBL3962020,-6.934
CHEMBL3905494,-6.933
CHEMBL573133,-6.933
CHEMBL3959291,-6.929
CHEMBL428963,-6.928
CHEMBL3890352,-6.927
CHEMBL3983416,-6.927
CHEMBL2151924,-6.925
CHEMBL3920419,-6.922
CHEMBL4108380,-6.915
CHEMBL3965676,-6.913
CHEMBL574995,-6.912
CHEMBL226850,-6.908
CHEMBL4588742,-6.908
CHEMBL261204,-6.907
CHEMBL3910308,-6.902
CHEMBL1760765,-6.902
CHEMBL226797,-6.897
CHEMBL573355,-6.894
CHEMBL4590906,-6.892
CHEMBL3932390,-6.892
CHEMBL4465572,-6.891
CHEMBL4457064,-6.891
CHEMBL3699805,-6.891
CHEMBL3962807,-6.888
CHEMBL3921269,-6.883
CHEMBL3913252,-6.881
CHEMBL209826,-6.876
CHEMBL261542,-6.874
CHEMBL3983824,-6.872
CHEMBL595684,-6.871
CHEMBL226529,-6.871
CHEMBL3915954,-6.871
CHEMBL3696293,-6.868
CHEMBL376394,-6.862
CHEMBL574268,-6.861
CHEMBL3943127,-6.86
CHEMBL1761087,-6.855
CHEMBL3974713,-6.854
CHEMBL1761089,-6.854
CHEMBL3112865,-6.852
CHEMBL375485,-6.848
CHEMBL211084,-6.845
CHEMBL211827,-6.842
CHEMBL1081437,-6.841
CHEMBL470192,-6.841
CHEMBL573592,-6.84
CHEMBL3941240,-6.832
CHEMBL255835,-6.832
CHEMBL3699799,-6.827
CHEMBL255348,-6.823
CHEMBL427422,-6.821
CHEMBL379963,-6.817
CHEMBL3696236,-6.816
CHEMBL3985936,-6.816
CHEMBL3701774,-6.815
CHEMBL1080569,-6.814
CHEMBL4435138,-6.814
CHEMBL226381,-6.812
CHEMBL3696264,-6.807
CHEMBL3896910,-6.805
CHEMBL227325,-6.803
CHEMBL3950518,-6.8
CHEMBL401622,-6.799
CHEMBL595944,-6.797
CHEMBL572417,-6.795
CHEMBL227271,-6.792
CHEMBL3927877,-6.79
CHEMBL2151926,-6.789
CHEMBL263510,-6.788
CHEMBL1081852,-6.787
CHEMBL577377,-6.787
CHEMBL381785,-6.785
CHEMBL3696295,-6.784
CHEMBL3699807,-6.778
CHEMBL3977147,-6.776
CHEMBL3978717,-6.77
CHEMBL381703,-6.769
CHEMBL227051,-6.768
CHEMBL573393,-6.766
CHEMBL3672535,-6.765
CHEMBL3952378,-6.764
CHEMBL3912471,-6.762
CHEMBL3932730,-6.762
CHEMBL4439720,-6.76
CHEMBL3684451,-6.758
CHEMBL1761072,-6.757
CHEMBL4554668,-6.75
CHEMBL3899177,-6.748
CHEMBL3970663,-6.744
CHEMBL574087,-6.742
CHEMBL1081853,-6.741
CHEMBL205415,-6.737
CHEMBL1081831,-6.735
CHEMBL3971065,-6.735
CHEMBL1081628,-6.734
CHEMBL593490,-6.731
CHEMBL579246,-6.729
CHEMBL206208,-6.728
CHEMBL3940627,-6.726
CHEMBL3924930,-6.717
CHEMBL383541,-6.717
CHEMBL603197,-6.71
CHEMBL3956468,-6.709
CHEMBL415220,-6.707
CHEMBL3967010,-6.703
CHEMBL3672082,-6.7
CHEMBL3696234,-6.699
CHEMBL2177821,-6.695
CHEMBL3672527,-6.695
CHEMBL3978853,-6.694
CHEMBL607374,-6.692
CHEMBL3672069,-6.69
CHEMBL3929608,-6.69
CHEMBL203275,-6.685
CHEMBL3934916,-6.682
CHEMBL3112854,-6.68
CHEMBL3893943,-6.674
CHEMBL382914,-6.67
CHEMBL229968,-6.668
CHEMBL3958964,-6.667
CHEMBL3701749,-6.664
CHEMBL409880,-6.658
CHEMBL3112862,-6.658
CHEMBL3112867,-6.658
CHEMBL3895789,-6.655
CHEMBL4583911,-6.655
CHEMBL3696275,-6.654
CHEMBL3672035,-6.65
CHEMBL3805319,-6.65
CHEMBL1761085,-6.647
