CHEMBL_ID,SMILES,DOCKING_SCORE
CHEMBL1969620,Cc1ccccc1NC(=O)/C(=N/NC(=O)CC#N)[C@@H]1C(=O)N(c2ccccc2)N=C1N,-7.828
CHEMBL3221792,COC[C@H](COc1cccc2cnccc12)[NH2+]Cc1ccccc1Cl,-7.813
CHEMBL1079625,[NH3+][C@H](CNc1ncc(-c2ccc3cn[nH]c3c2)s1)Cc1ccc(C(F)(F)F)cc1,-7.811
CHEMBL2031146,CC(=O)N[C@@H](Cc1ccc(F)cc1)[C@H](O)C[NH2+][C@H]1CC2(CC(F)(F)C2)Oc2ncc(CC(C)(C)C)cc21,-7.808
CHEMBL4095111,CSCC[C@@H](NC(=O)[C@@H]([NH3+])Cc1ccc(O)cc1)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(N)=O,-7.784
CHEMBL2380345,COc1cccc(-c2cnc(Nc3ccc4[nH]ncc4c3)o2)c1,-7.756
CHEMBL375568,CC(C)([NH3+])C(=O)N[C@H](Cc1c[nH]c2ccccc12)c1nc(Cc2c[nH]c3ccccc23)n[nH]1,-7.747
CHEMBL1724898,COc1ccc(CCNC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)cc1OC,-7.742
CHEMBL2381156,O=c1c2cccc(COc3ccc(-c4cc(F)c(F)cc4F)cc3)c2[nH]n1C[C@@H](O)CO,-7.742
CHEMBL2260664,CC[C@H](C)CC[C@@]1(C)O[C@H]1c1c(C)c(O)cc2c1[nH]c1c(O)ccc(CO)c12,-7.742
CHEMBL441220,[NH3+]CCc1cccc2[nH]c(=O)sc12,-7.738
CHEMBL3794537,Cc1c(C(=O)Nc2ccccc2S(C)(=O)=O)sc2nc[nH]c(=O)c12,-7.728
CHEMBL3245971,CCC(=O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@@H](O)[C@@H]1O,-7.727
CHEMBL438830,[NH3+][C@@H]1C[C@H]([NH3+])CN(c2nc(Cl)nc(N3C[C@H]([NH3+])C[C@H]([NH3+])C3)n2)C1,-7.717
CHEMBL1553850,CCN1C(=O)c2cccc3c(S(=O)(=O)NCc4ccccc4)ccc1c23,-7.708
CHEMBL1076135,CC[C@H](C)[C@H](NC(=O)c1ccc(-c2ccccc2)cc1)C(=O)N[C@@H](C(=O)N[C@@H](CCC(N)=O)C(=O)OCCc1scnc1C)C(C)C,-7.704
CHEMBL3681915,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COCC#Cc2nc3c(N)ncnc3n2[C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)[C@@H](O)[C@@H]1O,-7.702
CHEMBL2430175,Cc1c[nH]c([C@H](Cc2cc(C)c3[nH]ncc3c2)NC(=O)N2CCC(N3Cc4ccccc4NC3=O)CC2)[nH+]1,-7.694
CHEMBL3943838,O=C1NCCc2ccc(OCCCC[N@@H+]3CCCN(c4cccc(Cl)c4Cl)CC3)cc21,-7.693
CHEMBL3127904,Cc1cn(-c2ccc3n(c2=O)CCN(CCOc2ccc(C(F)(F)F)cc2)C3=O)cn1,-7.692
CHEMBL1801135,Cc1cc(Nc2nc(C(=O)N3CCCC3)cn3c(-c4cn[nH]c4)cnc23)sn1,-7.69
CHEMBL2333884,[NH3+]Cc1ccc(C(=O)N[C@H](c2ccc(Cl)cc2)c2nc(=O)c3cc(-c4cn[nH]c4)ccc3[nH]2)cc1,-7.681
CHEMBL3805614,OC[C@@H]1C[N@H+](Cc2ccccc2)C[C@@H](O)[C@H]1c1ccc(F)cc1,-7.68
CHEMBL3481091,CCn1cc(C[NH2+]C2CCN(c3cccc(C)c3C)CC2)cn1,-7.661
CHEMBL3774908,COc1cccc([C@@H]2CCN(c3ccc(-c4cn[nH]c4)cc3)C2=O)c1,-7.657
CHEMBL598088,NC(=O)c1cccc2c1C(=O)N(CC1CC[NH2+]CC1)C2,-7.655
CHEMBL1536801,Clc1ccccc1OCCn1cnc2ccccc21,-7.655
CHEMBL3484462,COc1ccc2c(c1)[C@@H](C(=O)N(C)CCCc1[nH+]ccn1C)CC(=O)N2,-7.646
CHEMBL602550,C[NH2+]C[C@@H](O)[C@H](c1cccc(F)c1)N1CC2(CCCCC2)c2ccccc21,-7.643
CHEMBL46875,C[NH2+]CCN1C(=O)c2cccc3cccc(c23)C1=O,-7.632
CHEMBL1867339,COc1ccc(C[C@H]([NH3+])c2csc(NC(=O)Nc3ccccc3Oc3ccccc3)n2)cc1,-7.631
